sub_type_id,name,type_id,created_date,modified_date,deleted_date
1,journal,1,18-04-2024,,
2,dairy,1,18-04-2024,,
3,lifestyle,1,18-04-2024,,
4,fashion,2,18-04-2024,,
5,beauty,2,18-04-2024,,
6,health,2,18-04-2024,,
7,destination,3,18-04-2024,,
8,adventure ,3,18-04-2024,,
9,budget,3,18-04-2024,,
10,recipe,4,18-04-2024,,
11,resturant,4,18-04-2024,,
12,cooking,4,18-04-2024,,
13,street style,5,18-04-2024,,
14,luxury fashion,5,18-04-2024,,
15,sustainable fashion,5,18-04-2024,,
16,mom,6,18-04-2024,,
17,dad,6,18-04-2024,,
18,new parent,6,18-04-2024,,
19,gadgets,7,18-04-2024,,
20,software,7,18-04-2024,,
21,apps,7,18-04-2024,,
22,tech news,7,18-04-2024,,
23,personal finance,8,18-04-2024,,
24,investing,8,18-04-2024,,
25,frugal living,8,18-04-2024,,
26,fitness,9,18-04-2024,,
27,nutrition,9,18-04-2024,,
28,mental health,9,18-04-2024,,
29,crafting,10,18-04-2024,,
30,home decoration,10,18-04-2024,,
31,garding,10,18-04-2024,,
